"code";"Weights";"Predictors";"Ensamble";"Probability";"upper";"lower";"Age_group";"Gender";"num_pats.";"prevalence";"Pred_Ens_Weights";"pathString"
"J96";"3";"O_H_diag_J96";0,363188305670511;0,461018932914155;0,531387241397243;0,392170686913996;"[0, 18)";"M";52201;0,01;"O_H_diag_J96, 0.36, 30.46,0.01";"AllWaves|[0, 18)|M|O_H_diag_J96, 0.36, 30.46,0.01"
"J96";"5";"O_H_diag_J96";0,458187214263977;0,197327851740557;0,238828676745442;0,161508379839826;"[75,102)";"F";52201;0,01;"O_H_diag_J96, 0.46, 50.2,0.01";"AllWaves|[75,102)|F|O_H_diag_J96, 0.46, 50.2,0.01"
"J96";"2";"O_H_diag_J96";0,402372962203;0,440885493262564;0,465273742275974;0,416779217709046;"[18, 65)";"F";52201;0,01;"O_H_diag_J96, 0.4, 20.44,0.01";"AllWaves|[18, 65)|F|O_H_diag_J96, 0.4, 20.44,0.01"
"J96";"4";"O_H_diag_J96";0,489175061263022;0,360924002758184;0,410652462342354;0,31400894135537;"[65, 75)";"F";52201;0,01;"O_H_diag_J96, 0.49, 40.36,0.01";"AllWaves|[65, 75)|F|O_H_diag_J96, 0.49, 40.36,0.01"
"M01AE01";"1";"O_M_M01AE01";0,31312347974654;0,455822056302483;0,524154309905939;0,389113505251806;"[0, 18)";"M";388020;0,07;"O_M_M01AE01, 0.31, 10.46,0.07";"AllWaves|[0, 18)|M|O_M_M01AE01, 0.31, 10.46,0.07"
"M01AE01";"1";"O_M_M01AE01";0,28926997674174;0,189541004842321;0,228743910433887;0,155700455668217;"[75,102)";"F";388020;0,07;"O_M_M01AE01, 0.29, 10.19,0.07";"AllWaves|[75,102)|F|O_M_M01AE01, 0.29, 10.19,0.07"
"N02AJ06";"1";"O_M_N02AJ06";0,29363304588624;0,189739140348834;0,229000587763494;0,155848304943687;"[75,102)";"F";589004;0,11;"O_M_N02AJ06, 0.29, 10.19,0.11";"AllWaves|[75,102)|F|O_M_N02AJ06, 0.29, 10.19,0.11"
"N02BE01";"2";"O_M_N02BE01";0,315426186531411;0,190731184266356;0,230285697881207;0,156588513262043;"[75,102)";"F";870466;0,16;"O_M_N02BE01, 0.32, 20.19,0.16";"AllWaves|[75,102)|F|O_M_N02BE01, 0.32, 20.19,0.16"
"N02BE01";"1";"O_M_N02BE01";0,3120537953378;0,383108905246576;0,400966799364307;0,365560993053108;"[18, 65)";"M";870466;0,16;"O_M_N02BE01, 0.31, 10.38,0.16";"AllWaves|[18, 65)|M|O_M_N02BE01, 0.31, 10.38,0.16"
"N02BE01";"1";"O_M_N02BE01";0,317222065820174;0,18153810958733;0,213257182108025;0,153615642469189;"[65, 75)";"M";870466;0,16;"O_M_N02BE01, 0.32, 10.18,0.16";"AllWaves|[65, 75)|M|O_M_N02BE01, 0.32, 10.18,0.16"
